u,v,length,traffic_id,volume,Name,CS_id,geometry,Level,PowerKW_list,Number_Of_Chargers,1,2,3,4,5,6,7,8,9,10,11,12
794436,735703,11865.763083331209,16477V625646,23542,"Recharge Filipstad, Oslo",243223,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[50.0, 150.0, 50.0, 150.0, 50.0, 150.0, 50.0, 150.0, 50.0, 150.0, 50.0, 150.0, 50.0, 150.0, 50.0, 150.0]",16,23542.0,24022.0,23343.0,25658.0,24941.0,26240.0,20294.0,25609.0,25821.0,26840.0,26887.0,23150.0
794436,735703,11865.763083331209,16477V625646,23542,Recharge K89,243329,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[50.0, 50.0, 50.0, 50.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0]",11,23542.0,24022.0,23343.0,25658.0,24941.0,26240.0,20294.0,25609.0,25821.0,26840.0,26887.0,23150.0
794436,735703,11865.763083331209,16477V625646,23542,Idas vei,173544,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0]",8,23542.0,24022.0,23343.0,25658.0,24941.0,26240.0,20294.0,25609.0,25821.0,26840.0,26887.0,23150.0
794436,735703,11865.763083331209,16477V625646,23542,Circle K Lørenskog,157375,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[50.0, 50.0, 50.0, 50.0, 50.0, 150.0, 150.0, 150.0, 150.0, 150.0]",10,23542.0,24022.0,23343.0,25658.0,24941.0,26240.0,20294.0,25609.0,25821.0,26840.0,26887.0,23150.0
794436,735703,11865.763083331209,16477V625646,23542,Recharge Solli P-Hus,243244,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,[22.0],1,23542.0,24022.0,23343.0,25658.0,24941.0,26240.0,20294.0,25609.0,25821.0,26840.0,26887.0,23150.0
794436,735703,11865.763083331209,16477V625646,23542,VIA Ruseløkkveien 26,243232,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0]",9,23542.0,24022.0,23343.0,25658.0,24941.0,26240.0,20294.0,25609.0,25821.0,26840.0,26887.0,23150.0
794436,735703,11865.763083331209,84967V625637,6713,Frydenlund P-hus,243271,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0]",15,6713.0,6810.0,6417.0,7391.0,7333.0,7566.0,5895.0,7460.0,7675.0,7792.0,7365.0,5956.0
794436,735703,11865.763083331209,84967V625637,6713,Tjuvholmen Parkering,215792,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0]",15,6713.0,6810.0,6417.0,7391.0,7333.0,7566.0,5895.0,7460.0,7675.0,7792.0,7365.0,5956.0
794436,735703,11865.763083331209,84967V625637,6713,"Recharge Filipstad, Oslo",243223,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[50.0, 150.0, 50.0, 150.0, 50.0, 150.0, 50.0, 150.0, 50.0, 150.0, 50.0, 150.0, 50.0, 150.0, 50.0, 150.0]",16,6713.0,6810.0,6417.0,7391.0,7333.0,7566.0,5895.0,7460.0,7675.0,7792.0,7365.0,5956.0
794436,735703,11865.763083331209,84967V625637,6713,Recharge K89,243329,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[50.0, 50.0, 50.0, 50.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0]",11,6713.0,6810.0,6417.0,7391.0,7333.0,7566.0,5895.0,7460.0,7675.0,7792.0,7365.0,5956.0
794436,735703,11865.763083331209,84967V625637,6713,Idas vei,173544,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0]",8,6713.0,6810.0,6417.0,7391.0,7333.0,7566.0,5895.0,7460.0,7675.0,7792.0,7365.0,5956.0
794436,735703,11865.763083331209,84967V625637,6713,Circle K Lørenskog,157375,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[50.0, 50.0, 50.0, 50.0, 50.0, 150.0, 150.0, 150.0, 150.0, 150.0]",10,6713.0,6810.0,6417.0,7391.0,7333.0,7566.0,5895.0,7460.0,7675.0,7792.0,7365.0,5956.0
794436,735703,11865.763083331209,84967V625637,6713,Recharge Solli P-Hus,243244,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,[22.0],1,6713.0,6810.0,6417.0,7391.0,7333.0,7566.0,5895.0,7460.0,7675.0,7792.0,7365.0,5956.0
794436,735703,11865.763083331209,84967V625637,6713,VIA Ruseløkkveien 26,243232,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0]",9,6713.0,6810.0,6417.0,7391.0,7333.0,7566.0,5895.0,7460.0,7675.0,7792.0,7365.0,5956.0
