,source,target,length,Name_2,ID_2,geometry,unique_id,traffic_id,volume,1,2,3,4,5,6,7,8,9,10,11,12
285,579630,567291,19064.7129,,,"MULTILINESTRING ((11.757480417685901 64.14636179393227, 12.097878183840866 64.2313513570321))",579630_567291,31504V578608,1375.0,1375.0,1629.0,1777.0,0.0,0.0,0.0,0.0,3202.0,2274.0,2066.0,0.0,
287,633194,633646,10054.39028,,,"MULTILINESTRING ((12.740923210808566 64.68906103415571, 12.865747415862504 64.76176406424261))",633194_633646,17549V578615,800.0,800.0,939.0,1061.0,1154.0,1523.0,2230.0,3471.0,2475.0,1535.0,1281.0,1029.0,893.0
290,633646,1533131,19247.48206,,,"MULTILINESTRING ((12.865747415862504 64.76176406424261, 13.077152094133766 64.909085366697))",633646_1533131,17549V578615,800.0,800.0,939.0,1061.0,1154.0,1523.0,2230.0,3471.0,2475.0,1535.0,1281.0,1029.0,893.0
293,674383,1812590,19269.58681,,,"MULTILINESTRING ((13.37749238120552 65.33163840909017, 13.408063225766234 65.50399194339582))",674383_1812590,19085V885118,1530.0,1530.0,1606.0,1740.0,1927.0,2248.0,3117.0,4253.0,3279.0,2359.0,2063.0,1804.0,1590.0
296,376004,1122526,16428.48492,,,"MULTILINESTRING ((13.38243599281949 65.59601844295517, 13.279798813135514 65.73714127461857))",376004_1122526,19474V885911,1478.0,1478.0,1569.0,1684.0,1863.0,2132.0,2890.0,4118.0,3187.0,2248.0,2000.0,1706.0,1493.0
298,658802,474129,19055.95688,,,"MULTILINESTRING ((13.421358399481024 65.96023180582729, 13.749913666524616 66.06665272597306))",658802_474129,72557V885913,1497.0,1497.0,1601.0,1672.0,1822.0,2084.0,2724.0,3697.0,2956.0,2102.0,1873.0,1685.0,1397.0
300,474672,475387,14771.12615,,,"MULTILINESTRING ((13.84145644099651 66.16522557292598, 14.026575564090074 66.27459920318513))",474672_475387,55875V885917,3148.0,3148.0,3333.0,3392.0,3714.0,4230.0,4932.0,5594.0,4965.0,4122.0,3929.0,3696.0,3220.0
301,1600133,355270,10863.44329,,,"MULTILINESTRING ((14.62589181099171 66.38742587799526, 14.824487476490367 66.44366720429298))",1600133_355270,39676V885922,473.0,473.0,619.0,721.0,792.0,1050.0,1749.0,2589.0,1906.0,1071.0,836.0,628.0,520.0
306,467676,1123339,17166.90842,,,"MULTILINESTRING ((15.127651738621482 66.45166817757855, 15.351420601655589 66.57708354736366))",467676_1123339,39676V885922,473.0,473.0,619.0,721.0,792.0,1050.0,1749.0,2589.0,1906.0,1071.0,836.0,628.0,520.0
311,1123339,404456,10162.79562,,,"MULTILINESTRING ((15.351420601655589 66.57708354736366, 15.408414744760236 66.66535935408494))",1123339_404456,39676V885922,473.0,473.0,619.0,721.0,792.0,1050.0,1749.0,2589.0,1906.0,1071.0,836.0,628.0,520.0
