u,v,diff_hour_00_avg,diff_hour_01_avg,diff_hour_02_avg,diff_hour_03_avg,diff_hour_04_avg,diff_hour_05_avg,diff_hour_06_avg,diff_hour_07_avg,diff_hour_08_avg,diff_hour_09_avg,diff_hour_10_avg,diff_hour_11_avg,diff_hour_12_avg,diff_hour_13_avg,diff_hour_14_avg,diff_hour_15_avg,diff_hour_16_avg,diff_hour_17_avg,diff_hour_18_avg,diff_hour_19_avg,diff_hour_20_avg,diff_hour_21_avg,diff_hour_22_avg,diff_hour_23_avg,edge_classification,TimeServed
1062891,1551524,14.80958814712421,14.914257965269092,14.963836965565159,14.978112202283057,14.950765278034075,14.740745190240595,13.950064127715079,13.305298640377869,13.40404467206431,13.448923623168858,13.142313194429478,12.801540194658793,12.631359584889475,12.518508405776862,12.28636010677833,11.946480099373408,12.219289738797379,12.655068975583484,12.983009242995537,13.323904974972843,13.662080976345363,14.000643664355033,14.317181817328036,14.61328887854033,1,0
1551524,627368,7.669740939404047,7.7887724302711305,7.84515413060782,7.861388062596312,7.830288885950377,7.591452088436397,6.692282228959702,5.959048918941343,6.0713438247429,6.122380585417606,5.773700353665151,5.386170128344536,5.192639155839427,5.0643037451741515,4.800302540033963,4.413787833938597,4.724029493655624,5.219601695489129,5.592538418197255,5.980208215724932,6.36478511030903,6.749801748533977,7.109771880635843,7.446507585130747,1,0
355581,357850,167.41039640102193,167.6229004736742,167.72355737427532,167.7525394246351,167.69701880865986,167.27062918855822,165.66536275231456,164.35633886755787,164.55681627607476,164.64793098378235,164.02544050869056,163.33359206962123,162.98808585490352,162.75897171684466,162.28765668190115,161.59762122500695,162.1514882371398,163.03622143182415,163.70201643984907,164.39411405384018,165.08068998220816,165.76805097437662,166.41069703843576,167.011863234804,1,0
40898,68908,5.564880427094091,5.57753817254417,5.583533772579973,5.58526008027609,5.5819530103669095,5.556555232308166,5.460937987537637,5.382966347208485,5.3949077277845205,5.400334949778558,5.363256479326356,5.322046721214551,5.301466740498262,5.287819621163711,5.259745873377844,5.218644105040505,5.251635038180148,5.304333922628699,5.343991815432017,5.385216415578111,5.426112118069672,5.467054582666189,5.505333615118739,5.541141910893249,1,0
68908,198845,5.534488489002438,5.558100052630471,5.569284152697257,5.572504380515014,5.566335423184429,5.5189587987286925,5.340595861368285,5.195148763061984,5.217424030674972,5.227547887086928,5.158382278743393,5.081510229957914,5.043120650544835,5.017663524093851,4.965295186877902,4.8886245805563275,4.950165359682199,5.04846904798046,5.122446271094343,5.199346005982246,5.27563222024535,5.352005663819624,5.423410782048418,5.49020702608933,1,0
1853728,944766,12.239935792717299,12.297625901787852,12.324952001951027,12.332819981258334,12.317747374172265,12.201992116481444,11.766198135508077,11.410827390161755,11.465252528556377,11.489988136490743,11.320995876929738,11.133174479381708,11.03937725957862,10.977177888765388,10.84922638443364,10.661897171049995,10.812259693244137,11.052444993519272,11.23319346648824,11.421082509461778,11.607472538125236,11.794075694074749,11.96853974582964,12.131742940032694,1,0
1853728,943964,2.618412332849257,2.755943605527993,2.821088105917011,2.839845102999831,2.803912516486632,2.5279558895021754,1.4890377492070181,0.6418458879383605,0.7715935807356619,0.8305624350939622,0.4276905926805939,-0.020069279111117874,-0.2436786849708047,-0.3919598854327286,-0.6969919527214943,-1.143578474079126,-0.7851192966964676,-0.21252564836123186,0.21837260998251454,0.6662937461852495,1.1106412828723964,1.5554969078153327,1.9714133181170759,2.3604842241285726,0,0
943964,1164240,0.9779783337241862,1.2021664790996134,1.3083577797337471,1.3389333448899887,1.2803600489985636,0.8305263260734578,-0.8630021822660815,-2.2439998888650794,-2.032499667508771,-1.9363752164220542,-2.5930919719312797,-3.322980187719185,-3.687483307713471,-3.929194786696536,-4.426424050365481,-5.154399601109513,-4.570079419924684,-3.6367011011339727,-2.934298807444432,-2.2041477163953727,-1.4798219088044655,-0.7546678723930597,-0.07668731683924435,0.5575326910131245,0,Z
504123,962669,1.21494686584194,1.2816434476365839,1.3132356478252405,1.322331961454785,1.3049062469333403,1.171079493316099,0.6672501651021645,0.2563995987524083,0.3193214887107456,0.3479187738331781,0.15254375645041174,-0.06459996898486077,-0.17304063660531063,-0.24495045771427904,-0.39287751335520266,-0.609452215748107,-0.4356153757430658,-0.15793279230261523,0.051033796699484886,0.2682557282385101,0.4837446221363479,0.699479916356462,0.9011809719718208,1.0898631458605823,0,0
962669,751810,1.338540747414659,1.3606918019522958,1.3711841020149524,1.3742051404831586,1.3684177681420946,1.3239716565392883,1.1566414781908647,1.0201911076148509,1.041088523622912,1.0505861621124788,0.9856988388211224,0.9135817621254657,0.8775667958719587,0.8536843370364986,0.8045552784112281,0.7326271838208841,0.7903613168152591,0.8825843646002264,0.9519856770060331,1.024128727261695,1.0956962066219256,1.1673455196658322,1.2343338264577943,1.2969983440631858,1,0
