,Name,Latitude,Longitude
357,Kiwi Klokkersund,62.466767827464906,6.246670075818429
358,Kiwi Sjusjøen,61.15232,10.69057
359,Rema 1000 Gol,60.701748,8.961616
360,Frikvarteret,59.02148,6.92675
361,Amfi Havnesenteret,65.47296,12.20712
362,Circle K Hommelstø,65.40361,12.54725
363,Domus Røros,62.57613,11.38022
364,Rema 1000 Røros,62.57459,11.39597
365,Extra Fetsund,59.92811,11.16421
366,Coop Marked Trofors,65.53696,13.38759
367,Majavatn,65.16748,13.36988
368,NAF Mofjæra,63.73784,11.28169
369,Extra Stjørdal,63.467581860169645,10.942828561071451
370,Smølasenteret,63.46089,8.01051
371,Kiwi Heidal,61.75889,9.28585
372,Krokstrand Cafe og Overnatting,66.46263,15.09289
373,Coop Prix Storforshei,66.40434,14.52831
374,Circle K Namsskogan,64.93368,13.16657
375,Circle K Harran,64.55928,12.48518
376,Snåsakroa,64.25328,12.21518
377,"Magneten, Levanger",63.73403,11.28225
378,Coop Prix Tingvoll,62.90934,8.20767
379,Sunndalsporten,62.54921,9.11493
380,Joker Folldal,62.13476,9.99351
381,Circle K Rygge,59.3865614656138,10.7519781589508
382,Fortum hurtigladestasjon Meny Helgeroa,58.98795844318089,9.873829999999998
383,Kobbelv Vershus,67.58005,15.89228
384,Shell Fauske,67.25916,15.39072
385,Røkland Senter,66.98046,15.31501
386,Sandnessjøen,66.02311,12.63676
387,Hattfjelldal,65.59562,13.98965
388,"Coop Marked, Batnfjord",62.89366,7.67994
389,Coop Marked Lesjaverk,62.19331,8.53645
390,Circle K Vågå,61.87715,9.09854
391,Coop Prix Byrkjelo,61.73343,6.50643
392,Circle K Innlandsporten,60.63119,11.30237
393,Ingeniørvesenet Dalaneveien 39/41,58.16479,7.94901
394,Amfi Sogningen,61.2321658,7.1036529
395,Shell 7-eleven Vestby,59.6023023,10.742786
396,Shell 7-Eleven Løten,60.82215,11.33716
397,Grønn Kontakt at ABB Billingstad,59.8694544401555,10.4847219621439
398,Circle K 123 Lavik,61.10321,5.51227
399,Best Vinjeøra,63.20728,9.00501
400,Vestnes,62.62333,7.09433
401,Postgården Oppdal,62.59361,9.6936
402,Circle K 123 Sande,61.32149,5.77771
403,Kiwi Vingnes,61.10639,10.44391
404,Grønn Kontakt hurtigladestasjon Circle K Ringdalskogen,59.11202,10.10847
405,"Fortum hurtigladestasjon Arendal, Østre gate",58.46353,8.76249
406,Coop Marked Kvikne,62.56601,10.32235
407,Circle K Vinstra,61.59216,9.72421
408,"Jekta Storsenter Vest, Tromsø",69.67447,18.92201
409,Coop Domus Støren,63.04915,10.28375
410,Shell Alvdal,62.11101,10.62728
411,Hanestad Vertshus,61.83494,10.88532
412,"Shell Koppang, Rendalen",61.58826,10.99561
413,"Kiwi Trysilvegen, Elverum",60.89421,11.58147
414,"Kiwi Fjeldset, Elverum",60.87424,11.57648
415,Circle K Dal,60.25351,11.1834
416,"Fortum hurtigladestasjon Kiwi Ågotnes, Fjell",60.4035768749674,5.01826286315918
417,Eidsvoll Verk Nebbenes,60.312269,11.145104
418,Shell Mørkved Bodø,67.28181,14.54913
419,Esso Mosjøen,65.86314,13.19615
420,Fortum hurtigladestasjon Rena Torggata 14,61.13244,11.36918
421,Grønn Kontakt hurtigladestasjon Circle K Fjellhamar,59.93414,10.98535
422,Circle K Fjellhamar,59.934200543807805,10.985576165908725
423,McDonalds Gardermoen,60.1662601481615,11.1582042111083
424,Pit Stop Handeland,58.220657564155005,7.0136264324769115
425,Fortum - Mosjøen sentrum ,65.8357654,13.190514600000029
426,"Grønn Kontakt hurtigladestasjon Circle K, Hunstad",67.27982,14.53938
427,Grønn Kontakt hurtigladestasjon Circle K Mosjøen,65.84142,13.20112
428,Grønn Kontakt hurtigladestasjon Hemsedal,60.86205,8.55464
429,Fortum hurtigladestasjon Europris Drøbak,59.67512,10.65996
430,"Grønn Kontakt, Hurtigladestasjon Kjerlingland, Lillesand",58.23646,8.29901
431,Aksdal Supercharger,59.4233186,5.44280430000003
432,Sandane Supercharger,61.7775722,6.21388230000002
433,Grønn Kontakt Lyngdal,58.1559787,7.1033516
434,Fortum hurtigladestasjon COOP Obs Mo i Rana,66.30634,14.1479
435,"Fortum hurtigladestasjon Shell Moholt, Trondheim",63.40878,10.44616
436,Grønn Kontakt hurtigladestasjon Kinsarvik,60.37422,6.71461
437,"Grønn Kontakt hurtigladestasjon Tysnes, Våge",60.0425,5.52324
438,"Fortum hurtigladestasjon Shell 7Eleven Bekkelaget, Oslo",59.880144,10.773582
439,"Fortum hurtigladestasjon Rema 1000, Kragerø",58.87147,9.37501
440,Fortum Hurtigladestasjon Tøyen,59.9181936004248,10.7741117477417
441,Fortum hurtigladestasjon Grong,64.46479,12.31639
442,"Fortum hurtigladestasjon Grisen Storsenter, Tvedestrand",58.628792,8.916503
443,Hvervenmoveien  2C,60.1459,10.25245
444,Fortum hurtigladestasjon Kiwi Leira i Valdres,60.97006,9.29035
445,"Fortum hurtigladestasjon McDonalds Grorud, Oslo",59.9496407651554,10.8855619815064
446,Fortum hurtigladestasjon Shell Mortensrud,59.85012,10.83466
447,Lufthavnveien 1,63.451904,10.917972
448,Litleåsvegen 75,60.464958,5.343087
449,Haraldrudveien 18,59.928043,10.824363
450,Elverum Supercharger,60.8842556729891,11.540634071661
451,"eRoute 71, Høgskolen Evenstad, Koppang",61.42459998198174,11.080291190490685
452,Lier South Supercharger,59.7660347,10.2574363
453,Lier North Supercharger,59.770939,10.262024
454,BKK Knarvik,60.5476112,5.289851999999996
455,Haukås (Statoil),60.4844583287349,5.37631630897522
456,Danmarksplass (BKK),60.3737625576434,5.34068048000336
457,Fortum hurtigladestasjon Shell Espa,60.5617832258234,11.2560381145045
458,McDonalds Porsgrunn,59.14914,9.66312
459,Bygland Supercharger,58.83076,7.79664
460,Fortum Kiwi Sønsterudveien,59.805457421679,10.8068504044195
461,Fortum hurtigladestasjon Kiwi Beitostølen,61.24296,8.92108
462,Fortum hurtigladestasjon Kiwi Ytre Enebakk,59.72334,11.05696
463,Fortum Kiwi Hagan,59.998539655423755,10.918385764357481
464,Kiwi Råde,59.3522514,10.8641069
465,Fortum hurtigladestasjon Kiwi Åfjord,63.9606,10.22553
466,Fortum hurtiglader Kiwi Bogstad,59.96245,10.64369
467,Kveldroveien,59.726062668879116,10.78349935219673
468,AutoXL,59.171486,9.6167262
469,Kirketorget Moss,59.4343146279072,10.6616848970748
470,"Oppdalsporten, Fagerhaug",62.65678,9.88175
471,Bjorli,62.25889,8.20809
472,Hjerkinn,62.22136,9.54442
473,Lom,61.84119,8.57464
474,Bryne Fortum hurtiglader,58.7781708,5.6259443
475,Stjørdal Supercharger,63.46671,10.91795
476,"Fortum hurtigladestasjon Møller, Lysaker, Oslo",59.91913,10.63322
477,"Fortum hurtigladestasjon Kiwi Kirkekrysset,Nesoddtangen",59.80571,10.6887
478,Fortum hurtigladestasjon Albjerk Bil,59.75464,10.26059
479,"Fortum hurtigladestasjon Kiwi Melløs, Moss",59.42126,10.67585
480,"Fortum hurtigladestasjon Kiwi Halmstad, Rygge",59.37925,10.75514
481,McDonalds Mariero,58.93371,5.73981
482,Ben’s Kafé og Motell,58.52665,6.12672
483,Finnøy Judaberg Fortum Hurtiglader,59.164645527734,5.871741771698
484,Førde hurtiglader GR,61.4478875,5.8850457
485,Nordfjordeid Grønn kontakt,61.9095301007522,5.98485908652947
486,Fortum hurtigladestasjon Kiwi Elverum,60.88317,11.56028
487,"Grønn Kontakt hurtigladestasjon, Kristiansand",58.180847,7.932224
488,"Witro Bil Hurtigladestasjon, Trondheim",63.39312,10.40225
489,"Skei Hotel, Jølster",61.57234,6.48115
490,"AutoCenteret Hurtigladestasjon, Bergen",60.46997464267415,5.338389182872807
491,Circle K Minnesund,60.39071,11.21554
492,"Coop Mega, Hønefoss",60.17776,10.26917
493,"Fortum hurtigladestasjon Kiwi Bjerke, Oslo",59.9416499,10.809516900000062
494,"Fortum - Birger N. Haug Hurtigladestasjon, Oslo",59.93085,10.824479999999994
495,"Circle K Økern Hurtigladestasjon, Oslo",59.92739106791902,10.810328338623085
496,"Fortum Hurtigladestasjon Alnabru, Oslo",59.92387562804377,10.844078510589608
497,"Fortum ladestasjon One Park Sentrum P-hus (Ibsen), Oslo",59.91571,10.74248
498,"Grønn Kontakt Hurtigladestasjon, ABB Alnabru, Oslo",59.91501,10.825919999999996
499,Fortum Hurtigladestasjon Kiwi Åmot,59.89266,9.9241
500,"Fortum Hurtigladestasjon, Sandvika",59.88974,10.52643
501,"Fortum Hurtigladestasjon, Møller Bil Asker og Bærum, Billingstad",59.87635,10.501009999999951
502,"Fortum Hurtigladestasjon, Liertoppen",59.81098,10.30406
503,"Fortum - Birger N. Haug Hurtigladestasjon, Follo",59.7201,10.79243
504,Fortum hurtigladestasjon Kiwi Drøbak,59.66683,10.64622
505,"Fortum Hurtigladestasjon, Vestby",59.62573,10.73286
506,"Circle K Sekkelsten Hurtigladestasjon, Askim",59.57438,11.21659
507,Nutheim Gjestgiveri,59.57056,8.54843
508,"Grønn Kontakt, Hurtigladestasjon i Notodden",59.55938,9.2487
509,Storebaug Vest,59.42474,10.70621
510,Bavaria Haugesund,59.38251,5.3088
511,Solli Supercharger,59.32416,10.9553
512,"Fortum Flyplasskafeen, Tønsberg",59.3073,10.36138
513,"Fortum INSPIRIA Science Center, Sarpsborg",59.29722,11.06195
514,"Fortum Hurtigladestasjon, Sarpsborg",59.2750918881276,11.0850354232788
515,"Fortum hurtigladestasjon McDonalds Råbekken, Fredrikstad",59.23735,10.9663
516,Kiwi Moveien,59.14293,10.19971
517,"Sønnico AS, Kristiansand",58.16586,8.03898
