source,target,length_m,length_km,geometry,trafficPoint_ID,gradient_per_meter,volume
519657,519871,9520.12361,9.52012361,"LINESTRING (8.632771898426105 59.47890520954082, 8.48562768045577 59.43720360609427)",63287V521386,-0.028726728,2655
519871,356470,7629.903461,7.629903461,"LINESTRING (8.48562768045577 59.43720360609427, 8.37820817759636 59.478779621523486)",96715V521387,-0.013794146,1906
521003,734848,2544.897971,2.544897971,"LINESTRING (10.815406372527464 59.89906053059026, 10.822273786744049 59.87643452885278)",19702V625216,0.001495541,24170
541694,541794,8795.424217,8.795424217,"LINESTRING (11.466597229950539 63.784079773028914, 11.398356705518623 63.857225346101416)",65732V578598,-0.003786173,2756
579231,255966,5792.057358,5.792057358,"LINESTRING (10.810739758000278 63.40385023246349, 10.88198779958223 63.44504837411619)",95081V72156,0.006080741,14040
581536,656715,3964.788972,3.964788972,"LINESTRING (10.223377195872565 63.32457744169491, 10.302694830643867 63.32275589494104)",22504V72241,-0.003203197,9701
581633,581536,2864.150156,2.864150156,"LINESTRING (10.180492569487022 63.30747206906063, 10.223377195872565 63.32457744169491)",40308V72241,-0.002341358,10525
581827,581633,6549.966396,6.549966396,"LINESTRING (10.053568476875958 63.322332801012905, 10.180492569487022 63.30747206906063)",80360V72241,0.005785679,9606
582037,581827,7787.947558,7.787947558,"LINESTRING (9.897756996684656 63.32584633584975, 10.053568476875958 63.322332801012905)",75525V72242,-0.000651263,7697
587711,1854889,11016.33401,11.01633401,"LINESTRING (8.764279209935578 63.18416303116039, 8.981183345112381 63.199839282154436)",37602V72246,-0.010364246,1135
591920,1148914,8317.565756,8.317565756,"LINESTRING (10.249294727715663 59.69435550246546, 10.1974454325921 59.624289017486)",04403V2172075,-0.005429473,25862
592884,600113,1961.410312,1.961410312,"LINESTRING (11.471041352185386 63.998115353151604, 11.492050410266508 64.01316069877163)",83942V1828479,-0.001279182,11094
597346,582037,4003.608424,4.003608424,"LINESTRING (9.851307671746186 63.29650114566203, 9.897756996684656 63.32584633584975)",14444V2005568,-0.005429852,10416
600113,621923,6041.40853,6.04140853,"LINESTRING (11.492050410266508 64.01316069877163, 11.508623681231017 64.06700585086543)",61841V578063,-0.008835357,11722
601834,621503,2559.76369,2.55976369,"LINESTRING (10.397209956671189 63.40061090649609, 10.44377237536227 63.41038025163193)",35002V72811,-0.033890628,0
621046,1050156,2538.09167,2.53809167,"LINESTRING (10.272608561896902 63.28417016957422, 10.288791157871145 63.30580625865236)",15862V72153,-0.00640954,11384
621503,621605,3453.553784,3.453553784,"LINESTRING (10.44377237536227 63.41038025163193, 10.496958880214768 63.43033762453159)",44210V2411509,0.023854269,4712
621923,1854807,24733.74352,24.73374352,"LINESTRING (11.508623681231017 64.06700585086543, 11.930686258490752 64.1917537358746)",64090V578603,0.000239026,2113
621978,622201,8853.89988,8.85389988,"LINESTRING (12.341081516846314 64.38805800463746, 12.302287840910756 64.46590225727245)",89711V578609,0.012608455,1615
622201,1854852,16437.44301,16.43744301,"LINESTRING (12.302287840910756 64.46590225727245, 12.526239665618132 64.5780260730179)",92316V578609,-0.000189932,2603
622986,601834,3049.817477,3.049817477,"LINESTRING (10.37741946128543 63.374655457962874, 10.397209956671189 63.40061090649609)",06970V72811,0.028883696,49911
623104,579107,4142.889081,4.142889081,"LINESTRING (10.53622477855615 63.42226268445889, 10.619497173386215 63.42203232880412)",32375V72155,-0.012837177,17283
627813,628008,4024.597883,4.024597883,"LINESTRING (10.856512528450132 63.50615834662127, 10.860339150761908 63.542312197486)",76082V578594,0.000448492,6651
