source,target,length_m,length_km,geometry,trafficPoint_ID,gradient_per_meter,volume
355216,785532,8026.020950239811,8.026020950239811,"LINESTRING (14.944298642996143 66.5041317084843, 15.092638816448904 66.46282197011101)",,-0.013000838229419555,0
355303,354996,3357.9073582047813,3.3579073582047814,"LINESTRING (14.83385035621848 66.44722995161251, 14.863392350220314 66.47502823576255)",,-0.011379706443250134,0
355924,362649,5015.446313209819,5.015446313209819,"LINESTRING (10.93273513033326 60.87749220620337, 10.84703148341775 60.89468705568243)",,-0.007027490236944242,0
356032,355924,4648.322828992889,4.64832282899289,"LINESTRING (11.002724594893431 60.85327658066187, 10.93273513033326 60.87749220620337)",41542V705184,0.020252896251699654,17367
356470,1218458,9919.313242942026,9.919313242942026,"LINESTRING (8.37820817759636 59.478779621523486, 8.205015906954022 59.493773355282585)",,-0.008850511910435597,0
356803,1790694,11379.683615505544,11.379683615505545,"LINESTRING (5.474275031280178 59.46249744338462, 5.416862484742675 59.560604343579364)",81157V319534,0.0016110289722835631,3216
356803,1714915,4187.462268158342,4.187462268158343,"LINESTRING (5.474275031280178 59.46249744338462, 5.459258662753564 59.425620573254285)",42954V320585,0.002406230636779313,7645
356907,1244249,26781.025609652275,26.781025609652275,"LINESTRING (6.1022934664753095 58.52060286031392, 5.930622538021201 58.74426010393179)",95509V319514,-0.0006699145978014301,5632
358102,326002,8191.200447403633,8.191200447403633,"LINESTRING (10.803297314165896 60.91389928545407, 10.65499939159914 60.92912844311867)",53953V704480,0.012402211452681602,13348
359628,356907,5544.51283733281,5.544512837332809,"LINESTRING (6.1907398147993495 58.539426252445985, 6.1022934664753095 58.52060286031392)",,0.005719167928783102,0
360832,974682,8685.67480578301,8.68567480578301,"LINESTRING (5.781669315278977 58.80069930508012, 5.718194382426881 58.87156927253416)",64040V320581,0.004149706362020623,59316
362649,358102,3186.8132892426306,3.1868132892426306,"LINESTRING (10.84703148341775 60.89468705568243, 10.803297314165896 60.91389928545407)",,-0.024807226788861624,0
363094,1169582,13266.960877985059,13.266960877985058,"LINESTRING (7.844741776371103 58.11742596891251, 7.623670547025358 58.093093941857255)",28020V121748,-0.001984629354239787,7614
368090,1854798,4207.96765140126,4.20796765140126,"LINESTRING (20.823745734656278 69.49229467907257, 20.763640438812857 69.52374882335086)",,-0.0014363228286670261,0
368717,690247,1409.044202625517,1.409044202625517,"LINESTRING (14.315935445925003 66.34383117987619, 14.315351866677448 66.3565008562493)",,0.013309731493912737,0
373466,1767627,5691.12331106328,5.69112331106328,"LINESTRING (5.379284810406431 59.422441091807244, 5.29857356377392 59.391908255859605)",39245V319652,-0.0007413299219502872,13877
374652,599379,4476.985277375094,4.4769852773750936,"LINESTRING (14.653570512360387 66.39282463068848, 14.738918478793611 66.41412895843328)",,-0.01151868876152201,0
375163,1764735,10267.255257591258,10.267255257591257,"LINESTRING (13.36551271789853 65.37351557438892, 13.411451260878815 65.46385211970225)",,0.00488436283523014,0
395203,600782,1397.5923194239906,1.3975923194239905,"LINESTRING (14.157928394971172 66.32404634049325, 14.130965937245307 66.31766517272062)",,0.011402466784139116,0
424527,972167,2116.9146772128074,2.1169146772128076,"LINESTRING (23.350183966722614 69.97445679300615, 23.393652623954946 69.962593379559)",02250V930593,0.006577497028993511,10941
425412,1274054,7924.398961377239,7.924398961377239,"LINESTRING (15.859538557067815 67.89752051538932, 15.931685102433615 67.96342948167475)",,0.004433522361914749,0
426202,480059,7291.037028901038,7.291037028901038,"LINESTRING (16.07062199990777 68.2204556903341, 16.244583558475842 68.23208902276973)",,-7.817817928239422e-05,0
429135,619605,10820.03059301842,10.820030593018421,"LINESTRING (13.40724102513997 65.53246824263054, 13.306102434108052 65.62033078644598)",19085V885118,-0.001089553296421066,1530
429248,1095056,11528.090089832123,11.528090089832123,"LINESTRING (15.395441511883105 67.27166248252975, 15.576680920512333 67.34821769294518)",23265V885928,-0.004555221167669129,3214
431864,432008,5237.917755513413,5.237917755513413,"LINESTRING (17.493215694364125 68.54306029173976, 17.376837965732186 68.52293508075861)",,-0.013935499449789534,0
432008,439279,6888.301048327728,6.888301048327728,"LINESTRING (17.376837965732186 68.52293508075861, 17.211822422586085 68.53670380467686)",,0.005639707052210082,0
439279,1854800,10552.043849642296,10.552043849642295,"LINESTRING (17.211822422586085 68.53670380467686, 16.95756728786729 68.51818048276184)",,0.0,0
