,Name,Latitude,Longitude,geometry
202,Trekanten parkering,66.30708,14.13173,POINT (14.13173 66.30708)
203,Sulland Mo AS,66.30444319775847,14.130116996081597,POINT (14.130116996081597 66.30444319775847)
204,Sandnessjøen lufthavn,65.95684,12.46732,POINT (12.46732 65.95684)
205,Rørvik Lufthavn,64.83952,11.14423,POINT (11.14423 64.83952)
206,Rådhusgata Verdal Kommune,63.79349,11.48776,POINT (11.48776 63.79349)
207,Extra Verdal,63.78879,11.47987,POINT (11.47987 63.78879)
208,Sulland Verdal (Madsen Bil),63.78537,11.45517,POINT (11.45517 63.78537)
209,Hitra Rådhus,63.60171,8.9742,POINT (8.9742 63.60171)
210,"Trondheim lufthavn, Værnes",63.45401,10.9161,POINT (10.9161 63.45401)
211,TrP Losgata,63.43789,10.41348,POINT (10.41348 63.43789)
212,Sirkus Shopping,63.43623,10.45546,POINT (10.45546 63.43623)
213,TrP Munkegata,63.43163,10.39431,POINT (10.39431 63.43163)
214,Meldal Næringssenter,63.140718,9.710069,POINT (9.710069 63.140718)
215,Smia Restaurant U+0026amp; Catering,63.11682,7.73198,POINT (7.73198 63.11682)
216,Kirketomta,63.11178,7.72643,POINT (7.72643 63.11178)
217,Tydal kommune,63.0446785,11.65691,POINT (11.65691 63.0446785)
218,Bud,62.90666,6.91776,POINT (6.91776 62.90666)
219,Rema 1000 Elnesvågen,62.85427,7.16538,POINT (7.16538 62.85427)
220,Ålen sentrum,62.84234,11.30244,POINT (11.30244 62.84234)
221,Kviltorp Camping,62.742643,7.23335,POINT (7.23335 62.742643)
222,Esso Vigra,62.53255,6.12368,POINT (6.12368 62.53255)
223,Amfi Moa Øst,62.46579,6.35518,POINT (6.35518 62.46579)
224,Rema 1000 Flisnes,62.43239,6.41347,POINT (6.41347 62.43239)
225,Ørsta/Volda lufthavn,62.18004,6.0795,POINT (6.0795 62.18004)
226,"Rema 1000 Stokkenes, Nordfjordeid",61.90981,6.00345,POINT (6.00345 61.90981)
227,TOCN - Stryn Torg,61.90386,6.71758,POINT (6.71758 61.90386)
228,Engerdal,61.75895,11.96257,POINT (11.96257 61.75895)
229,Amfi Florø,61.60145,5.03671,POINT (5.03671 61.60145)
230,"Rema 1000 Evja, Florø",61.59897,5.04765,POINT (5.04765 61.59897)
231,Rema 1000 Førde,61.44946,5.87215,POINT (5.87215 61.44946)
232,Extra Bygg Førde,61.44892,5.88882,POINT (5.88882 61.44892)
233,Gaupne hurtigladestasjon,61.40322,7.29432,POINT (7.29432 61.40322)
234,Blåswixbutikken,61.14848,10.41554,POINT (10.41554 61.14848)
235,Vik i Sogn,61.0859484,6.5814388,POINT (6.5814388 61.0859484)
236,Kiwi Røn,61.03372,9.05456,POINT (9.05456 61.03372)
237,Valdres Auto AS,60.9906,9.22115,POINT (9.22115 60.9906)
238,Fagernes Kjøpesenter,60.98654,9.23831,POINT (9.23831 60.98654)
239,Kiwi Næroset,60.97491,10.77644,POINT (10.77644 60.97491)
240,"Kiwi, Aurdal",60.91995,9.42217,POINT (9.42217 60.91995)
241,Heggedalsvegen,60.71694,11.19479,POINT (11.19479 60.71694)
242,Evanger,60.64877,6.11544,POINT (6.11544 60.64877)
243,Extra Flisa,60.61283,12.00852,POINT (12.00852 60.61283)
244,Kiwi Nesbyen,60.56939,9.10478,POINT (9.10478 60.56939)
245,Hjellvikåsen  48,60.55377,5.41532,POINT (5.41532 60.55377)
246,Granvin,60.52419,6.71977,POINT (6.71977 60.52419)
247,Frekhaug,60.51808,5.23941,POINT (5.23941 60.51808)
248,Bergen,60.48466,5.37211,POINT (5.37211 60.48466)
249,Rema 1000 Juvikflaten,60.42794,5.19317,POINT (5.19317 60.42794)
250,Maurset,60.41032,7.32484,POINT (7.32484 60.41032)
251,Arnatveit Borettslag,60.40615,5.47972,POINT (5.47972 60.40615)
252,Ågotnes Torg,60.40359,5.00081,POINT (5.00081 60.40359)
253,Øystese,60.38692,6.20142,POINT (6.20142 60.38692)
254,Shell Lone,60.37425,5.45709,POINT (5.45709 60.37425)
255,Esso Loddefjord,60.36144,5.23441,POINT (5.23441 60.36144)
256,Sartor storsenter,60.35837,5.12625,POINT (5.12625 60.35837)
257,Extra Hammerås,60.33084,11.21368,POINT (11.21368 60.33084)
258,"McDonalds Lagunen, Rådal",60.29556,5.32697,POINT (5.32697 60.29556)
259,"Bergen lufthavn, P3",60.28959,5.22652,POINT (5.22652 60.28959)
