x,y,osmid,roadclass,isBridge,isTunnel,elevation,OD,CS,merged_nodes,geometry
6.009517651437524,59.68113111014805,1796588,0,0,0,61.188,0,0,"[1796588, 1758190, 1758251, 1630108, 1758214]",POINT (6.009517651437524 59.68113111014805)
5.741765020262329,59.596236300603536,356977,0,0,0,16.37,0,0,"[356977, 1758251, 357493]",POINT (5.741765020262329 59.596236300603536)
5.548978434751737,59.48815678039793,358507,0,0,0,56.895,0,0,"[358507, 357493, 356550, 369465, 1790391]",POINT (5.548978434751737 59.48815678039793)
5.274904889818147,59.41506190642743,358799,3,0,0,27.216,1,0,"[358799, 369465, 1750753, 1812154, 1198652]",POINT (5.274904889818147 59.41506190642743)
9.957347694413517,60.23108370047666,1063277,1,0,0,144.866,0,0,"[1063277, 626614, 1529010]",POINT (9.957347694413517 60.23108370047666)
9.674610026648068,60.31569839230757,628016,1,0,0,154.14,0,0,"[628016, 1529010, 628338, 1063803, 627910, 628352]",POINT (9.674610026648068 60.31569839230757)
9.479993464655127,60.41877794429991,629000,1,0,0,136.485,0,0,"[629000, 628338, 1063852, 628352]",POINT (9.479993464655127 60.41877794429991)
9.223078426415706,60.48151975221311,1064296,1,0,0,191.134,0,0,"[1064296, 1063852, 629027, 629149]",POINT (9.223078426415706 60.48151975221311)
9.114374686687766,60.56853826586369,1832624,1,0,0,151.53,1,0,"[1832624, 629027, 629149, 1832630, 1832634, 1832645, 629588, 1301711]",POINT (9.114374686687766 60.56853826586369)
8.985686035157764,60.70251555941314,630218,1,0,0,202.997,0,1,"[630218, 629588, 630342, 1300150, 1330551, 1096761, 1825660, 630376, 1316262, 1534476, 1548899]",POINT (8.985686035157764 60.70251555941314)
8.787191594268114,60.66794867343125,227045,1,0,0,297.709,0,0,"[227045, 1300150, 630974, 1330551, 631000, 1096761, 630376, 1316262, 1534476, 1548899]",POINT (8.787191594268114 60.66794867343125)
8.480103545943189,60.598574664439816,631488,1,0,0,448.308,0,0,"[631488, 630974, 631954, 631000]",POINT (8.480103545943189 60.598574664439816)
8.205037487770795,60.53294356012726,632383,1,0,0,775.824,0,1,"[632383, 631954, 632397, 227628, 251539, 632424, 1264271]",POINT (8.205037487770795 60.53294356012726)
7.898267869882554,60.50536957599831,633349,1,0,0,1031.598,0,0,"[633349, 227628, 228382, 228403, 633459]",POINT (7.898267869882554 60.50536957599831)
7.6985703535739605,60.4189895197702,228595,1,0,0,1173.65,0,0,"[228595, 228382, 1242755, 228403]",POINT (7.6985703535739605 60.4189895197702)
7.389493350415951,60.387959038075905,471754,1,0,0,994.391,0,0,"[471754, 1242755, 1688830, 1693486]",POINT (7.389493350415951 60.387959038075905)
7.210098793896831,60.4207348114868,1763120,1,0,1,422.487,0,0,"[1763120, 1688830, 1797595, 1314410, 1763127, 1693486]",POINT (7.210098793896831 60.4207348114868)
6.942379202438651,60.471823453050995,1763310,1,0,0,55.712,0,0,"[1763310, 1797595, 1746299, 1763466, 1763319, 1314410]",POINT (6.942379202438651 60.471823453050995)
6.722774649040936,60.37570778590561,1697934,1,0,0,4.699,0,0,"[1697934, 1746299, 1723406, 1801763]",POINT (6.722774649040936 60.37570778590561)
6.479905418803262,60.4411789238035,1722152,3,0,0,142.938,0,0,"[1722152, 1789878, 1583776, 1763686]",POINT (6.479905418803262 60.4411789238035)
6.229924388830484,60.3839617193902,346998,3,0,0,47.626,0,0,"[346998, 1789878, 1765893, 1059968]",POINT (6.229924388830484 60.3839617193902)
6.006989664222506,60.37461393910798,1712596,3,0,0,365.149,0,0,"[1712596, 1059968, 1799654, 1799665, 1712595]",POINT (6.006989664222506 60.37461393910798)
5.761487087234725,60.39733479507519,1799911,3,0,0,27.465,0,0,"[1799911, 1799654, 1800005, 1789996, 1789842, 1800073, 1799665]",POINT (5.761487087234725 60.39733479507519)
5.46068297574008,60.421518263012835,1761106,0,0,0,20.223,0,1,"[1761106, 1789996, 1847718, 1793213, 1761666, 1761914, 1761953, 1847538, 1847768, 1711984, 1278698, 1765436, 1761114, 1589939]",POINT (5.46068297574008 60.421518263012835)
10.88543932982256,60.07764546832092,492484,1,0,0,130.666,0,0,"[492484, 1390254, 1355311]",POINT (10.88543932982256 60.07764546832092)
10.697566332010716,60.212993142730284,264548,0,0,0,259.764,0,0,"[264548, 1355311, 264806, 273005]",POINT (10.697566332010716 60.212993142730284)
10.56674659076355,60.3716679477722,732070,1,0,0,233.169,0,0,"[732070, 264806, 647980, 731851, 244218]",POINT (10.56674659076355 60.3716679477722)
10.651990220348736,60.52275579524095,210723,1,0,0,404.961,0,0,"[210723, 647980, 264832, 158397, 244218]",POINT (10.651990220348736 60.52275579524095)
10.609884747238555,60.68492595809241,251243,1,0,0,340.939,0,0,"[251243, 264832, 252174, 158397]",POINT (10.609884747238555 60.68492595809241)
10.696799094425732,60.795677556748,267203,1,0,0,123.414,0,1,"[267203, 252174, 247917, 245152, 286450]",POINT (10.696799094425732 60.795677556748)
10.624690308902055,60.95522546854228,331508,0,0,0,130.604,0,0,"[331508, 247917, 331892, 962375, 96382, 962376, 331561, 245152, 283126]",POINT (10.624690308902055 60.95522546854228)
