,u,v,length,traffic_id,volume,Name,CS_id,geometry,Level,PowerKW_list,Number_Of_Chargers,vol_jan,vol_feb,vol_mar,vol_apr,vol_may,vol_jun,vol_jul,vol_aug,vol_sep,vol_oct,vol_nov,vol_dec,range,actual_range_jan,actual_range_feb,actual_range_mar,actual_range_apr,actual_range_may,actual_range_jun,actual_range_jul,actual_range_aug,actual_range_sep,actual_range_oct,actual_range_nov,actual_range_dec,charge_prob_jan,charge_prob_feb,charge_prob_mar,charge_prob_apr,charge_prob_may,charge_prob_jun,charge_prob_jul,charge_prob_aug,charge_prob_sep,charge_prob_oct,charge_prob_nov,charge_prob_dec,charge_cars_jan,charge_cars_feb,charge_cars_mar,charge_cars_apr,charge_cars_may,charge_cars_jun,charge_cars_jul,charge_cars_aug,charge_cars_sep,charge_cars_oct,charge_cars_nov,charge_cars_dec,new_id
1724,636819,554541,13294.322066975716,99915V578630,2985,Enecharge AS Namsos,244011,"LINESTRING (11.474306886000477 64.40796057779471, 11.693947660092741 64.48020949996962)",3,"[22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0]",16,2985,3106,3116,3426,3513,3749,3282,3675,3494,3529,3430,3098,300,240,240,240,270,300,315,330,330,306,276,245,240,0.05539300861239881,0.05539300861239881,0.05539300861239881,0.049238229877687834,0.04431440688991905,0.04220419703801814,0.04028582444538096,0.04028582444538096,0.04344549695090103,0.04816783357599897,0.05404195962185251,0.05539300861239881,82,86,86,84,77,79,66,74,75,84,92,85,636819_554541
1725,579630,567291,19064.71289831081,31504V578608,1375,No CS,0,"LINESTRING (11.757480417685901 64.14636179393227, 12.097878183840866 64.2313513570321)",0,No CS,0,1375,1629,1777,0,0,0,0,3202,2274,2066,0,1120,300,240,240,240,270,300,315,330,330,306,276,245,240,0.0794363037429617,0.0794363037429617,0.0794363037429617,0.07061004777152151,0.06354904299436936,0.060522898089875585,0.057771857267608515,0.057771857267608515,0.0623029833278131,0.06907504673301018,0.07749883291996265,0.0794363037429617,54,64,70,0,0,0,0,92,70,71,0,44,579630_567291
1726,567291,567618,15002.979786937723,31504V578608,1375,Snåsakroa,95294,"LINESTRING (12.097878183840866 64.2313513570321, 12.346468256314008 64.31157666507445)",3,"[50.0, 50.0, 22.0]",3,1375,1629,1777,0,0,0,0,3202,2274,2066,0,1120,300,240,240,240,270,300,315,330,330,306,276,245,240,0.06251241577890718,0.06251241577890718,0.06251241577890718,0.05556659180347305,0.050009932623125745,0.04762850726011976,0.0454635751119325,0.0454635751119325,0.049029345708946806,0.05435862241644103,0.06098772271112896,0.06251241577890718,42,50,55,0,0,0,0,72,55,56,0,35,567291_567618
1727,567618,632344,18777.59843874421,92316V578609,2603,Fortum hurtigladestasjon Grong,67975,"LINESTRING (12.346468256314008 64.31157666507445, 12.328849029310486 64.47983801818003)",3,"[44.0, 44.0, 50.0, 50.0]",4,2603,2885,3004,3185,3751,4681,5861,4864,3650,3405,3062,2684,300,240,240,240,270,300,315,330,330,306,276,245,240,0.07823999349476755,0.07823999349476755,0.07823999349476755,0.06954666088423782,0.06259199479581404,0.059611423615060985,0.05690181345074003,0.05690181345074003,0.06136470078020984,0.06803477695197178,0.07633170097050493,0.07823999349476755,101,112,117,110,117,139,166,138,111,115,116,104,567618_632344
1728,632344,1206644,11649.722578695131,92316V578609,2603,Fortum hurtigladestasjon Grong,67975,"LINESTRING (12.328849029310486 64.47983801818003, 12.485690539203016 64.55955828092455)",3,"[44.0, 44.0, 50.0, 50.0]",4,2603,2885,3004,3185,3751,4681,5861,4864,3650,3405,3062,2684,300,240,240,240,270,300,315,330,330,306,276,245,240,0.048540510744563045,0.048540510744563045,0.048540510744563045,0.04314712066183382,0.03883240859565044,0.03698324628157185,0.03530218963240949,0.03530218963240949,0.038070988819265135,0.04220913977788091,0.0473565958483542,0.048540510744563045,63,70,72,68,72,86,103,85,69,71,72,65,632344_1206644
1729,632344,1206644,11649.722578695131,92316V578609,2603,Circle K Harran,95295,"LINESTRING (12.328849029310486 64.47983801818003, 12.485690539203016 64.55955828092455)",3,"[50.0, 50.0, 22.0]",3,2603,2885,3004,3185,3751,4681,5861,4864,3650,3405,3062,2684,300,240,240,240,270,300,315,330,330,306,276,245,240,0.048540510744563045,0.048540510744563045,0.048540510744563045,0.04314712066183382,0.03883240859565044,0.03698324628157185,0.03530218963240949,0.03530218963240949,0.038070988819265135,0.04220913977788091,0.0473565958483542,0.048540510744563045,63,70,72,68,72,86,103,85,69,71,72,65,632344_1206644
1730,632344,1206644,11649.722578695131,92316V578609,2603,Fortum hurtigladestasjon Grong,67975,"LINESTRING (12.328849029310486 64.47983801818003, 12.485690539203016 64.55955828092455)",3,"[44.0, 44.0, 50.0, 50.0]",4,2603,2885,3004,3185,3751,4681,5861,4864,3650,3405,3062,2684,300,240,240,240,270,300,315,330,330,306,276,245,240,0.048540510744563045,0.048540510744563045,0.048540510744563045,0.04314712066183382,0.03883240859565044,0.03698324628157185,0.03530218963240949,0.03530218963240949,0.038070988819265135,0.04220913977788091,0.0473565958483542,0.048540510744563045,63,70,72,68,72,86,103,85,69,71,72,65,632344_1206644
1731,632344,1206644,11649.722578695131,92316V578609,2603,Circle K Harran,95295,"LINESTRING (12.328849029310486 64.47983801818003, 12.485690539203016 64.55955828092455)",3,"[50.0, 50.0, 22.0]",3,2603,2885,3004,3185,3751,4681,5861,4864,3650,3405,3062,2684,300,240,240,240,270,300,315,330,330,306,276,245,240,0.048540510744563045,0.048540510744563045,0.048540510744563045,0.04314712066183382,0.03883240859565044,0.03698324628157185,0.03530218963240949,0.03530218963240949,0.038070988819265135,0.04220913977788091,0.0473565958483542,0.048540510744563045,63,70,72,68,72,86,103,85,69,71,72,65,632344_1206644
1732,632344,613237,14056.805572575904,92316V578609,2603,Fortum hurtigladestasjon Grong,67975,"LINESTRING (12.328849029310486 64.47983801818003, 12.036681469157438 64.47636719566572)",3,"[44.0, 44.0, 50.0, 50.0]",4,2603,2885,3004,3185,3751,4681,5861,4864,3650,3405,3062,2684,300,240,240,240,270,300,315,330,330,306,276,245,240,0.058570023219066264,0.058570023219066264,0.058570023219066264,0.05206224286139224,0.04685601857525301,0.04462477959547906,0.042596380522957285,0.042596380522957285,0.04593727311299315,0.0509304549731011,0.05714148606738173,0.058570023219066264,76,84,87,82,87,104,124,103,83,86,87,78,632344_613237
1733,1206644,633194,18908.3228662584,92316V578609,2603,Circle K Harran,95295,"LINESTRING (12.485690539203016 64.55955828092455, 12.740923210808566 64.68906103415571)",3,"[50.0, 50.0, 22.0]",3,2603,2885,3004,3185,3751,4681,5861,4864,3650,3405,3062,2684,300,240,240,240,270,300,315,330,330,306,276,245,240,0.07878467860941,0.07878467860941,0.07878467860941,0.07003082543058667,0.06302774288752801,0.06002642179764572,0.057297948079570914,0.057297948079570914,0.06179190479169412,0.06850841618209566,0.07686310108235123,0.07878467860941,102,113,118,111,118,140,167,139,112,116,117,105,1206644_633194
